Korean Word,Correct English,Wrong English,Wrong Korean
사과,apple,appl,사각
바나나,banana,bandana,바나나킥
고양이,cat,bat,배트
개,dog,fog,안개
물고기,fish,dish,접시
모자,hat,hit,히트
주스,juice,jeans,청바지
차,car,card,카드
새,bird,beard,수염
집,house,horse,말
책,book,look,보다
의자,chair,cheer,응원
책상,desk,disk,디스크
연필,pencil,panel,패널
공,ball,bell,벨
침대,bed,bet,내기
시계,clock,cloak,망토
신발,shoe,sue,소송
배,boat,boot,부츠
나무,tree,free,무료
우유,milk,silk,실크
손,hand,sand,모래
문,door,poor,가난한
빵,bread,breed,품종
창문,window,widow,미망인
꽃,flower,flour,밀가루
숲,forest,faucet,수도꼭지
강,river,liver,간
소파,sofa,soda,소다
양말,sock,shock,충격
구름,cloud,clout,영향력
얼음,ice,nice,멋진
눈,snow,slow,느린
비,rain,rein,고삐
해,sun,son,아들
별,star,start,시작
달,moon,mood,기분
불,fire,wire,와이어
돌,stone,tone,음색
산,mountain,fountain,분수
바다,sea,see,보다
하늘,sky,sly,교활한
도시,city,kitty,고양이
시골,village,pillage,약탈
길,road,rod,막대기
강아지,puppy,guppy,구피
새끼 고양이,kitten,bitten,물린
양,sheep,cheap,저렴한
소,cow,sow,뿌리다
말,horse,hoarse,목 쉰
돼지,pig,big,큰
닭,chicken,kitchen,부엌
토끼,rabbit,habit,습관
사자,lion,ion,이온
호랑이,tiger,trigger,방아쇠
코끼리,elephant,relevant,관련된
여우,fox,box,상자
늑대,wolf,golf,골프
기린,giraffe,graph,그래프
원숭이,monkey,money,돈
곰,bear,pear,배
팬더,panda,pander,아첨하다
얼룩말,zebra,zebra,제브라
악어,crocodile,futile,헛된
하마,hippo,zippo,지포
코뿔소,rhino,vino,비노
다람쥐,squirrel,quarrel,싸움
독수리,eagle,beagle,비글
부엉이,owl,howl,울부짖음
갈매기,seagull,sequel,속편
개미,ant,aunt,이모
벌,bee,be,있다
나비,butterfly,flutter,펄럭이다
거미,spider,slider,슬라이더
파리,fly,fry,튀기다
벌레,bug,rug,깔개
새우,shrimp,trim,다듬다
조개,clam,calm,고요한
게,crab,grab,잡다
물개,seal,zeal,열정
오징어,squid,squirt,뿜어내다
문어,octopus,focus,집중하다
조류,algae,allege,주장하다
식물,plant,plank,판자
열매,fruit,brute,짐승
잎,leaf,loaf,덩어리
풀,grass,brass,놋쇠
꽃잎,petal,pedal,페달
씨앗,seed,need,필요
나무줄기,trunk,drunk,취한
뿌리,root,loot,전리품
포도,grape,gripe,불평
레몬,lemon,demon,악마
수박,watermelon,slaughter,도살하다
멜론,melon,felon,범죄자
딸기,strawberry,stray,길을 잃은
체리,cherry,merry,명랑한
복숭아,peach,preach,설교하다
자두,plum,plump,통통한
살구,apricot,apron,앞치마
배,pear,bear,곰
감,persimmon,sermon,설교
토마토,tomato,motto,모토
오이,cucumber,cummer,괴롭히다
당근,carrot,garret,다락방
감자,potato,patio,파티오
양파,onion,union,조합
고추,pepper,prepper,준비자
호박,pumpkin,lumpkin,바보
상추,lettuce,lattice,격자
배추,cabbage,savage,야만적인
시금치,spinach,finish,끝내다
무,radish,rad,근원
마늘,garlic,frolic,장난치다
생강,ginger,linger,오래 머무르다
가지,eggplant,implant,심다
옥수수,corn,born,태어난
쌀,rice,dice,주사위
밀,wheat,cheat,속이다
보리,barley,barely,거의
콩,bean,lean,기울다
팥,redbean,ribbon,리본
녹두,mungbean,munch,씹다
오트,oat,coat,코트
우유,milk,silk,실크
치즈,cheese,tease,놀리다
버터,butter,mutter,중얼거리다
요구르트,yogurt,mogul,거물
계란,egg,peg,고정하다
소금,salt,malt,맥아
설탕,sugar,cigar,시가
후추,pepper,leper,나병환자
빵,bread,dread,두려움
케이크,cake,lake,호수
쿠키,cookie,rookie,신참
파이,pie,tie,묶다
초콜릿,chocolate,pamphlet,소책자
사탕,candy,handy,편리한
아이스크림,icecream,icebox,냉장고
감자칩,chips,ships,배
버거,burger,merger,합병
핫도그,hotdog,godot,고도
피자,pizza,pizzazz,화려함
스파게티,spaghetti,machete,마체테
샌드위치,sandwich,handkerchief,손수건
수프,soup,soap,비누
쌀국수,noodles,doodles,낙서
라면,ramen,amen,아멘
만두,dumpling,tumbling,구르다
볶음밥,friedrice,firebird,파이어버드
탕수육,sweetandsourpork,porter,운반자
갈비,ribs,rib,늑골
스테이크,steak,streak,연속
닭고기,chicken,chic,멋진
소고기,beef,reef,암초
돼지고기,pork,park,공원
오리고기,duck,puck,퍽
생선,fish,wish,희망
꽃게,crab,grab,잡다
